Name,Seniority,Hallway,Kitchen comp,Kitchen bonus,bathroom comp ,bathroom bonus,common comp,common bonus
Newbe 1G,0,NW1,0,0,0,0,0,1
Newbe 2G,0,NW1,0,0,0,0,50,0
G1,1,NW1,50,0,100,0,0,0
G3,3,NW1,0,0,0,0,0,0
Newbe 3G,0,NW2,0,0,0,1,25,0
G2,2,NW2,0,0,0,0,0,0
G5,5,NW2,0,0,100,0,0,0
Newbe 4G,0,NW2,0,0,0,0,50,0
G8,8,NE1,75,0,0,0,0,0
G2,2,NE1,0,1,100,0,0,1
G4.5,4.5,NE1,0,0,0,0,100,0
G10,10,NE1,0,0,0,0,0,0
Newbe 5G,0,NE2,0,0,0,0,0,0
G14,14,NE2,0,0,100,0,0,0
Newbe 6G,0,NE2,0,2,0,0,50,0
Newbe 1B,0,SW1,0,0,0,2,0,0
Newbe 2B,0,SW1,0,0,100,0,0,0
B16,16,SW1,0,1,0,0,0,0
B2,2,SW1,0,0,0,0,0,2
B9,9,SW2,50,0,0,0,0,0
Newbe 3B,0,SW2,0,0,100,0,0,0
B3,3,SW2,0,0,0,0,0,0
B10,10,SW2,0,0,0,0,0,0
B1,1,SE1,0,0,0,0,0,0
B4,4,SE1,25,0,100,0,0,0
B5,5,SE1,0,0,0,0,0,0
B11.5,11.5,SE1,0,0,0,0,0,0
B8,8,SE2,0,0,0,0,0,0
Newbe 4B,0,SE2,0,0,100,1,0,0
Newbe 5B,0,SE2,0,0,0,0,0,0
Newbe 6B,0,SE2,0,0,0,0,0,0
